WHO Country Name,Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3)
Albania,2015,13.24,19.52,9.57
Albania,2016,21.48,32.385,18.65
Australia,2012,9.65,21.215,7.965
Australia,2013,7.586,18.536,12.176
Australia,2014,8.134285714285713,19.457142857142856,11.102857142857143
Australia,2015,6.723636363636363,17.385454545454547,9.123636363636363
Australia,2016,7.078181818181818,17.16090909090909,10.382727272727273
Australia,2017,7.28,17.87333333333333,7.8999999999999995
Australia,2018,8.06,18.953333333333333,6.9366666666666665
Australia,2019,9.102105263157895,21.527368421052632,10.08736842105263
Austria,2010,18.35727272727273,25.29,27.486363636363635
Austria,2013,15.6645,21.7465,25.122
Austria,2014,12.9224,18.5716,24.4644
Austria,2015,13.644499999999999,18.8565,21.4195
Austria,2016,12.136129032258065,17.34258064516129,22.316451612903226
Austria,2017,12.543548387096775,17.706129032258065,23.09935483870968
Austria,2018,13.6190625,19.3025,21.33375
Austria,2019,11.081935483870968,16.29,20.68354838709677
Belgium,2010,16.22,23.926111111111112,25.353333333333335
Belgium,2013,14.858076923076924,22.24423076923077,22.10923076923077
Belgium,2014,12.227586206896552,19.51551724137931,20.25
Belgium,2015,12.51595238095238,20.24809523809524,20.78
Belgium,2016,12.25780487804878,19.485365853658536,21.202439024390245
Belgium,2017,11.896153846153846,19.227948717948717,20.763076923076923
Belgium,2018,12.276842105263157,20.531578947368423,20.048684210526318
Belgium,2019,10.706829268292683,18.464878048780488,18.671463414634147
Bosnia and Herzegovina,2016,32.965,43.489999999999995,13.41
Bosnia and Herzegovina,2017,32.56,40.45,11.22
Bosnia and Herzegovina,2019,32.54,32.54,6.8
Brazil,2010,16.776666666666667,36.20666666666667,38.723333333333336
Brazil,2011,16.98,35.832499999999996,27.5825
Brazil,2012,17.125,37.225,36.582499999999996
Brazil,2013,14.793000000000001,35.314,24.028
Brazil,2014,16.753999999999998,38.94,25.119999999999997
Brazil,2015,13.192857142857141,35.49285714285714,24.174285714285713
